Date of Reading,(IN) BT0901 (Flow) (Flow (m3/hr)),(OUT) BT0301 (Flow) (Flow (m3/hr)),(OUT) BT0601 (Flow) (Flow (m3/hr)),(OUT) BT0701 (Flow) (Flow (m3/hr)),(OUT) BT0202 Flow (Flow (m3/hr)),Buchan Tower North outlet TM (Balance) (Flow (m3/hr))
27/06/2023 00:00:00,22.8,10.68,9.76,1.344,,1.016
27/06/2023 00:15:00,24.4,10.76,10.44,1.292,,1.908
27/06/2023 00:30:00,22,10.04,9.52,1.072,,1.368
27/06/2023 00:45:00,21.6,10.6,8.64,1.016,,1.344
27/06/2023 01:00:00,21.2,10.44,8.96,0.86,,0.94
27/06/2023 01:15:00,21.2,10.28,8,0.96,,1.96
27/06/2023 01:30:00,20.8,9.52,9.08,0.988,,1.212
27/06/2023 01:45:00,21.6,10.12,9.32,1.2,,0.96
27/06/2023 02:00:00,22,10.2,9.24,1.14,,1.42
27/06/2023 02:15:00,21.6,9.24,9.32,1.072,,1.968
27/06/2023 02:30:00,19.2,8.52,8.64,1.012,,1.028
27/06/2023 02:45:00,19.2,8.48,8.32,1.048,,1.352
27/06/2023 03:00:00,20.4,9.24,8.6,0.884,,1.676
27/06/2023 03:15:00,21.2,9.4,9.6,1.052,,1.148
27/06/2023 03:30:00,22.8,10.16,9.88,1.1,,1.66
27/06/2023 03:45:00,24,10.96,10.36,1.464,,1.216
27/06/2023 04:00:00,25.2,11.56,10.52,1.892,,1.228
27/06/2023 04:15:00,28,11.52,12.8,1.72,,1.96
27/06/2023 04:30:00,28.4,11.92,12.6,1.872,,2.008
27/06/2023 04:45:00,33.2,14.32,14.64,1.924,,2.316
27/06/2023 05:00:00,34,13.16,15.76,2.668,,2.412
27/06/2023 05:15:00,44.39999,18.88,19.52,3.272,,2.72799
27/06/2023 05:30:00,52.80001,21.16,23.76,5.352,,2.52801
27/06/2023 05:45:00,60.00001,24.56,25.4,6.58,,3.46001
27/06/2023 06:00:00,66.80002,28.08,29.44,5.504,,3.77602
27/06/2023 06:15:00,71.20001,30.16,29.08,7.768,,4.19201
27/06/2023 06:30:00,82.4,34.56,34.6,8.064,,5.176
27/06/2023 06:45:00,77.60002,33.24,31.64,7.776,,4.94402
27/06/2023 07:00:00,71.6,32.84,27.32,6.72,,4.72
27/06/2023 07:15:00,70.40002,31.68,29.16,5.964,,3.59602
27/06/2023 07:30:00,67.20001,29.88,28.24,6.132,,2.94801
27/06/2023 07:45:00,63.20002,26.96,28.6,5.228,,2.41202
27/06/2023 08:00:00,56.80001,24.04,25.24,5.1,,2.42001
27/06/2023 08:15:00,56.80001,26.52,23.2,4.976,,2.10401
27/06/2023 08:30:00,56.00002,24.84,24.4,4.54,,2.22002
27/06/2023 08:45:00,57.6,26.52,24.4,4.256,,2.424
27/06/2023 09:00:00,55.19999,24.04,24.44,4.292,,2.42799
27/06/2023 09:15:00,55.59998,27.44,21.96,3.748,,2.45198
27/06/2023 09:30:00,55.19999,24,22.6,5.572,,3.02799
27/06/2023 09:45:00,55.59998,24.32,23.36,4.4,,3.51998
27/06/2023 10:00:00,56.40001,25.04,24.84,3.252,,3.26801
27/06/2023 10:15:00,55.19999,24.72,23.76,3.22,,3.49999
27/06/2023 10:30:00,56.00002,25.08,23.96,3.864,,3.09602
27/06/2023 10:45:00,56.40001,24.4,24.12,4.364,,3.51601
27/06/2023 11:00:00,56.00002,24.6,25.36,3.356,,2.68402
27/06/2023 11:15:00,58.79999,26.12,26.8,3.572,,2.30799
27/06/2023 11:30:00,58.79999,27.12,25.2,3.912,,2.56799
27/06/2023 11:45:00,54,25.84,24,3.196,,0.964
27/06/2023 12:00:00,49.20001,21.56,23.68,2.708,,1.25201
27/06/2023 12:15:00,58,25.44,25.08,3.152,,4.328
27/06/2023 12:30:00,51.99998,24.12,22.24,3.5,,2.13998
27/06/2023 12:45:00,52.40002,24.28,23.8,2.528,,1.79202
27/06/2023 13:00:00,52.40002,24.24,22,3.244,,2.91602
27/06/2023 13:15:00,53.20001,23.96,23.52,3.76,,1.96001
27/06/2023 13:30:00,52.40002,24.44,21.44,3.776,,2.74402
27/06/2023 13:45:00,52.40002,22.92,23.28,3.268,,2.93202
27/06/2023 14:00:00,51.59999,20.6,23.92,3.512,,3.56799
27/06/2023 14:15:00,48.39998,21.72,22.32,2.364,,1.99598
27/06/2023 14:30:00,49.60001,22,22.28,3.416,,1.90401
27/06/2023 14:45:00,55.19999,26.44,23.72,2.644,,2.39599
27/06/2023 15:00:00,57.2,26.72,25,2.86,,2.62
27/06/2023 15:15:00,58,26.24,24.96,3.68,,3.12
27/06/2023 15:30:00,58,25.76,26.36,3.308,,2.572
27/06/2023 15:45:00,59.19998,27,25.4,3.808,,2.99198
27/06/2023 16:00:00,61.6,26.4,28.88,3.884,,2.436
27/06/2023 16:15:00,66.80002,29.92,29.12,4.668,,3.09202
27/06/2023 16:30:00,68,30.4,29.08,4.924,,3.596
27/06/2023 16:45:00,70.40002,31.48,29.56,5.032,,4.32802
27/06/2023 17:00:00,76.39999,32.2,33.44,7.108,,3.65199
27/06/2023 17:15:00,76.39999,34.88,33.32,5.164,,3.03599
