Date of Reading,(IN) NX4801 (Flow) (Flow (m3/hr)),(OUT) CS1601 Flow (Flow (m3/hr)),Coltstaple 300mm TM North (Balance) (Flow (m3/hr))
01/08/2022 00:00:00,46.00001,,46.00001
01/08/2022 00:15:00,44.79998,,44.79998
01/08/2022 00:30:00,43.2,,43.2
01/08/2022 00:45:00,41.19998,,41.19998
01/08/2022 01:00:00,38.40001,,38.40001
01/08/2022 01:15:00,38.00002,,38.00002
01/08/2022 01:30:00,39.6,,39.6
01/08/2022 01:45:00,39.6,,39.6
01/08/2022 02:00:00,40.39999,,40.39999
01/08/2022 02:15:00,44.39999,,44.39999
01/08/2022 02:30:00,42.40001,,42.40001
01/08/2022 02:45:00,43.6,,43.6
01/08/2022 03:00:00,43.2,,43.2
01/08/2022 03:15:00,45.60001,,45.60001
01/08/2022 03:30:00,44.39999,,44.39999
01/08/2022 03:45:00,42.00001,,42.00001
01/08/2022 04:00:00,41.60002,,41.60002
01/08/2022 04:15:00,43.2,,43.2
01/08/2022 04:30:00,43.99999,,43.99999
01/08/2022 04:45:00,47.99999,,47.99999
01/08/2022 05:00:00,55.19999,,55.19999
01/08/2022 05:15:00,58,,58
01/08/2022 05:30:00,64.4,,64.4
01/08/2022 05:45:00,68.8,,68.8
01/08/2022 06:00:00,68,,68
01/08/2022 06:15:00,76,,76
01/08/2022 06:30:00,83.99999,,83.99999
01/08/2022 06:45:00,90.4,,90.4
01/08/2022 07:00:00,93.6,,93.6
01/08/2022 07:15:00,97.99999,,97.99999
01/08/2022 07:30:00,96.8,,96.8
01/08/2022 07:45:00,96.8,,96.8
01/08/2022 08:00:00,95.19998,,95.19998
01/08/2022 08:15:00,97.6,,97.6
01/08/2022 08:30:00,92.80001,0,92.80001
01/08/2022 08:45:00,95.60002,0,95.60002
01/08/2022 09:00:00,92.80001,0,92.80001
01/08/2022 09:15:00,89.20001,0,89.20001
01/08/2022 09:30:00,87.99998,0,87.99998
01/08/2022 09:45:00,91.59998,0,91.59998
01/08/2022 10:00:00,92.00002,0,92.00002
01/08/2022 10:15:00,87.59999,0,87.59999
01/08/2022 10:30:00,87.19999,0,87.19999
01/08/2022 10:45:00,82.8,0,82.8
01/08/2022 11:00:00,82.8,0,82.8
01/08/2022 11:15:00,80.79998,0,80.79998
01/08/2022 11:30:00,81.60001,0,81.60001
01/08/2022 11:45:00,80.39999,0,80.39999
01/08/2022 12:00:00,82.4,0,82.4
01/08/2022 12:15:00,84.39998,0,84.39998
01/08/2022 12:30:00,80.79998,0,80.79998
01/08/2022 12:45:00,78.40001,0,78.40001
01/08/2022 13:00:00,82.4,0,82.4
01/08/2022 13:15:00,84.39998,0,84.39998
01/08/2022 13:30:00,82.00001,0,82.00001
01/08/2022 13:45:00,81.60001,0,81.60001
01/08/2022 14:00:00,82.4,0,82.4
01/08/2022 14:15:00,88.40002,0,88.40002
01/08/2022 14:30:00,86,0,86
01/08/2022 14:45:00,86.4,0,86.4
01/08/2022 15:00:00,81.60001,0,81.60001
01/08/2022 15:15:00,81.20002,0,81.20002
01/08/2022 15:30:00,82.8,0,82.8
01/08/2022 15:45:00,84.39998,0,84.39998
01/08/2022 16:00:00,86,0,86
01/08/2022 16:15:00,89.6,0,89.6
01/08/2022 16:30:00,92.80001,0,92.80001
01/08/2022 16:45:00,95.19998,0,95.19998
01/08/2022 17:00:00,97.99999,0,97.99999
01/08/2022 17:15:00,100.4,0,100.4
01/08/2022 17:30:00,103.20001,0,103.20001
01/08/2022 17:45:00,101.99999,0,101.99999
01/08/2022 18:00:00,104,0,104
01/08/2022 18:15:00,106.40002,0,106.40002
01/08/2022 18:30:00,101.2,0,101.2
01/08/2022 18:45:00,96.40001,0,96.40001
01/08/2022 19:00:00,94,0,94
01/08/2022 19:15:00,101.59999,0,101.59999
01/08/2022 19:30:00,95.19998,0,95.19998
01/08/2022 19:45:00,91.59998,0,91.59998
01/08/2022 20:00:00,88.40002,0,88.40002
01/08/2022 20:15:00,86.8,0,86.8
01/08/2022 20:30:00,78.40001,0,78.40001
01/08/2022 20:45:00,74.00002,0,74.00002
01/08/2022 21:00:00,73.59998,0,73.59998
01/08/2022 21:15:00,70.40002,0,70.40002
01/08/2022 21:30:00,64.8,0,64.8
01/08/2022 21:45:00,65.99999,0,65.99999
01/08/2022 22:00:00,63.60001,0,63.60001
01/08/2022 22:15:00,57.6,0,57.6
01/08/2022 22:30:00,56.40001,0,56.40001
01/08/2022 22:45:00,51.99998,0,51.99998
01/08/2022 23:00:00,49.20001,0,49.20001
01/08/2022 23:15:00,47.2,0,47.2
01/08/2022 23:30:00,47.59999,0,47.59999
01/08/2022 23:45:00,46.4,0,46.4
02/08/2022 00:00:00,45.20002,0,45.20002
02/08/2022 00:15:00,44.39999,0,44.39999
02/08/2022 00:30:00,43.2,0,43.2
02/08/2022 00:45:00,39.6,0,39.6
02/08/2022 01:00:00,38.00002,0,38.00002
02/08/2022 01:15:00,38.40001,0,38.40001
02/08/2022 01:30:00,38.00002,0,38.00002
02/08/2022 01:45:00,39.2,0,39.2
02/08/2022 02:00:00,40.79999,0,40.79999
02/08/2022 02:15:00,43.2,0,43.2
02/08/2022 02:30:00,42.40001,0,42.40001
02/08/2022 02:45:00,43.2,0,43.2
02/08/2022 03:00:00,43.6,0,43.6
02/08/2022 03:15:00,44.39999,0,44.39999
02/08/2022 03:30:00,42.40001,0,42.40001
02/08/2022 03:45:00,40.79999,0,40.79999
02/08/2022 04:00:00,41.19998,0,41.19998
02/08/2022 04:15:00,43.6,0,43.6
02/08/2022 04:30:00,43.2,0,43.2
02/08/2022 04:45:00,48.39998,0,48.39998
02/08/2022 05:00:00,70.80001,0,70.80001
02/08/2022 05:15:00,82.00001,0,82.00001
02/08/2022 05:30:00,82.8,0,82.8
02/08/2022 05:45:00,87.99998,0,87.99998
02/08/2022 06:00:00,90,0,90
02/08/2022 06:15:00,100.8,0,100.8
02/08/2022 06:30:00,106.40002,0,106.40002
02/08/2022 06:45:00,110.80001,0,110.80001
02/08/2022 07:00:00,112,0,112
02/08/2022 07:15:00,112,0,112
02/08/2022 07:30:00,114.00001,0,114.00001
02/08/2022 07:45:00,115.2,0,115.2
02/08/2022 08:00:00,118.00001,0,118.00001
02/08/2022 08:15:00,111.2,0,111.2
02/08/2022 08:30:00,112.79999,0,112.79999
02/08/2022 08:45:00,112.39999,0,112.39999
02/08/2022 09:00:00,109.19999,0,109.19999
02/08/2022 09:15:00,112.39999,0,112.39999
02/08/2022 09:30:00,109.59998,0,109.59998
02/08/2022 09:45:00,108.4,0,108.4
02/08/2022 10:00:00,102.80002,0,102.80002
02/08/2022 10:15:00,103.60001,0,103.60001
02/08/2022 10:30:00,105.99998,0,105.99998
02/08/2022 10:45:00,100.8,0,100.8
02/08/2022 11:00:00,101.2,0,101.2
02/08/2022 11:15:00,102.39998,0,102.39998
02/08/2022 11:30:00,103.60001,0,103.60001
02/08/2022 11:45:00,100.00001,0,100.00001
02/08/2022 12:00:00,100.4,0,100.4
02/08/2022 12:15:00,100.00001,0,100.00001
02/08/2022 12:30:00,95.60002,0,95.60002
