Date of Reading,(IN) DL0101 (Flow) (Flow (m3/hr)),(OUT) DL1002 Flow (Flow (m3/hr)),Deal Low Outlet TM (Balance) (Flow (m3/hr))
23/04/2025 00:00:00,42.68002,30,12.68002
23/04/2025 00:15:00,43.16,27.2,15.96
23/04/2025 00:30:00,41.11999,28,13.11999
23/04/2025 00:45:00,39.96,26.8,13.16
23/04/2025 01:00:00,39.88001,26.8,13.08001
23/04/2025 01:15:00,40.84002,26.4,14.44002
23/04/2025 01:30:00,39.52001,26,13.52001
23/04/2025 01:45:00,38.48,25.2,13.28
23/04/2025 02:00:00,39.04002,26,13.04002
23/04/2025 02:15:00,40,25.6,14.4
23/04/2025 02:30:00,39.31999,26.4,12.91999
23/04/2025 02:45:00,38.27999,25.2,13.07999
23/04/2025 03:00:00,38.72002,25.6,13.12002
23/04/2025 03:15:00,40,26,14
23/04/2025 03:30:00,39.56,26.4,13.16
23/04/2025 03:45:00,41.44,28.8,12.64
23/04/2025 04:00:00,42.16,29.2,12.96
23/04/2025 04:15:00,45.47999,31.2,14.27999
23/04/2025 04:30:00,47.72002,34.8,12.92002
23/04/2025 04:45:00,49.75999,37.59998,12.16001
23/04/2025 05:00:00,53.6,40.79999,12.80001
23/04/2025 05:15:00,66.2,52.80001,13.39999
23/04/2025 05:30:00,71.6,58.39999,13.20001
23/04/2025 05:45:00,85.32,72.79999,12.52001
23/04/2025 06:00:00,91.59998,79.2,12.39998
23/04/2025 06:15:00,102.88001,85.20001,17.68
23/04/2025 06:30:00,102.71999,90.79999,11.92
23/04/2025 06:45:00,105.40001,93.6,11.80001
23/04/2025 07:00:00,106.63999,97.6,9.03999
23/04/2025 07:15:00,109.48,101.2,8.28
23/04/2025 07:30:00,110.76001,101.99999,8.76002
23/04/2025 07:45:00,107.48002,99.60001,7.88001
23/04/2025 08:00:00,112.84002,105.19999,7.64003
23/04/2025 08:15:00,112.39999,103.20001,9.19998
23/04/2025 08:30:00,115.80001,105.19999,10.60002
23/04/2025 08:45:00,105.88,97.6,8.28
23/04/2025 09:00:00,102.52001,93.6,8.92001
23/04/2025 09:15:00,102.84001,92.00002,10.83999
23/04/2025 09:30:00,99.11999,86.8,12.31999
23/04/2025 09:45:00,95.56002,86.4,9.16002
23/04/2025 10:00:00,98.16001,90,8.16001
23/04/2025 10:15:00,97.36002,86.8,10.56002
23/04/2025 10:30:00,97.44001,85.60001,11.84
23/04/2025 10:45:00,95.76,86,9.76
23/04/2025 11:00:00,94.96001,85.20001,9.76
23/04/2025 11:15:00,92.08001,80.39999,11.68002
23/04/2025 11:30:00,95.44,83.2,12.24
23/04/2025 11:45:00,88.56,78.40001,10.15999
23/04/2025 12:00:00,92.52,76.39999,16.12001
23/04/2025 12:15:00,89.92001,77.60002,12.31999
23/04/2025 12:30:00,89.52001,76.79999,12.72002
23/04/2025 12:45:00,87.52,75.6,11.92
23/04/2025 13:00:00,79.76002,68,11.76002
23/04/2025 13:15:00,84.56,72,12.56
23/04/2025 13:30:00,82.8,70.40002,12.39998
23/04/2025 13:45:00,84.39998,72,12.39998
23/04/2025 14:00:00,78.8,67.60001,11.19999
23/04/2025 14:15:00,82.76,69.99998,12.76002
23/04/2025 14:30:00,82.8,69.99998,12.80002
23/04/2025 14:45:00,87.99998,75.6,12.39998
23/04/2025 15:00:00,85.20001,72.4,12.80001
23/04/2025 15:15:00,87.04001,74.80001,12.24
23/04/2025 15:30:00,87.84,75.2,12.64
23/04/2025 15:45:00,88.6,76.39999,12.20001
23/04/2025 16:00:00,90.76,78.40001,12.35999
23/04/2025 16:15:00,89.92001,77.60002,12.31999
23/04/2025 16:30:00,96.76001,84.39998,12.36003
23/04/2025 16:45:00,109.00001,97.99999,11.00002
23/04/2025 17:00:00,112.24001,101.59999,10.64002
23/04/2025 17:15:00,102.84001,92.40001,10.44
23/04/2025 17:30:00,102.04002,93.2,8.84002
23/04/2025 17:45:00,100.36001,87.59999,12.76002
23/04/2025 18:00:00,104.88002,97.6,7.28002
23/04/2025 18:15:00,106.88,97.99999,8.88001
23/04/2025 18:30:00,100.8,92.80001,7.99999
23/04/2025 18:45:00,102.39998,94.39999,7.99999
23/04/2025 19:00:00,94.92001,83.99999,10.92002
23/04/2025 19:15:00,91.12,80.79998,10.32002
23/04/2025 19:30:00,92.48,80.79998,11.68002
23/04/2025 19:45:00,87.48,76.39999,11.08001
23/04/2025 20:00:00,87.23999,75.6,11.63999
23/04/2025 20:15:00,87.95999,77.60002,10.35997
23/04/2025 20:30:00,81.04,69.59999,11.44001
23/04/2025 20:45:00,78.99998,67.60001,11.39997
23/04/2025 21:00:00,77.32001,65.59999,11.72002
23/04/2025 21:15:00,86.15999,74.00002,12.15997
23/04/2025 21:30:00,76.48002,64.8,11.68002
23/04/2025 21:45:00,71.12002,59.19998,11.92004
23/04/2025 22:00:00,69.19999,57.2,11.99999
23/04/2025 22:15:00,62.84002,50,12.84002
23/04/2025 22:30:00,58.12002,44.39999,13.72003
23/04/2025 22:45:00,57.76002,45.20002,12.56
23/04/2025 23:00:00,52.08001,40,12.08001
23/04/2025 23:15:00,49.20001,36.79999,12.40002
23/04/2025 23:30:00,46.55999,31.2,15.35999
23/04/2025 23:45:00,44.64,32,12.64
24/04/2025 00:00:00,42.52,29.6,12.92
24/04/2025 00:15:00,43.44001,30.4,13.04001
24/04/2025 00:30:00,41.83999,28.4,13.43999
24/04/2025 00:45:00,40.84002,27.6,13.24002
24/04/2025 01:00:00,40.92001,28.4,12.52001
24/04/2025 01:15:00,40.39999,27.2,13.19999
24/04/2025 01:30:00,40.75999,26.8,13.95999
24/04/2025 01:45:00,40.03999,26.4,13.63999
24/04/2025 02:00:00,40.03999,26.8,13.23999
24/04/2025 02:15:00,39.76002,26.4,13.36002
24/04/2025 02:30:00,40.11998,26.4,13.71998
24/04/2025 02:45:00,40,26.8,13.2
24/04/2025 03:00:00,40.20001,27.2,13.00001
24/04/2025 03:15:00,41.4,28,13.4
24/04/2025 03:30:00,42.04001,27.6,14.44001
24/04/2025 03:45:00,43.12001,30.4,12.72001
24/04/2025 04:00:00,42.8,29.2,13.6
24/04/2025 04:15:00,44.56001,31.6,12.96001
24/04/2025 04:30:00,49.16002,34.8,14.36002
24/04/2025 04:45:00,50.76,37.59998,13.16002
24/04/2025 05:00:00,58.24001,45.20002,13.03999
24/04/2025 05:15:00,66.76002,53.6,13.16002
24/04/2025 05:30:00,76.56001,59.60002,16.95999
24/04/2025 05:45:00,83.95999,71.6,12.35999
24/04/2025 06:00:00,97.99999,86.4,11.59999
24/04/2025 06:15:00,107.71999,96.8,10.91999
24/04/2025 06:30:00,112.92001,103.20001,9.72
24/04/2025 06:45:00,114.8,104.4,10.4
24/04/2025 07:00:00,115.52,104.8,10.72
24/04/2025 07:15:00,123.44,111.2,12.24
24/04/2025 07:30:00,113.44,105.19999,8.24001
24/04/2025 07:45:00,114.48,106.80001,7.67999
24/04/2025 08:00:00,114.59999,106.80001,7.79998
24/04/2025 08:15:00,113.64001,108,5.64001
24/04/2025 08:30:00,111.84001,101.59999,10.24002
24/04/2025 08:45:00,108.60001,99.60001,9
24/04/2025 09:00:00,105.48,95.19998,10.28002
24/04/2025 09:15:00,106.40002,97.99999,8.40003
24/04/2025 09:30:00,106.56,96.00001,10.55999
24/04/2025 09:45:00,101.88,92.00002,9.87998
24/04/2025 10:00:00,99.60001,89.20001,10.4
24/04/2025 10:15:00,97.44001,87.59999,9.84002
24/04/2025 10:30:00,98.96,88.40002,10.55998
24/04/2025 10:45:00,97.52,86,11.52
24/04/2025 11:00:00,95.4,83.99999,11.40001
24/04/2025 11:15:00,97.36002,80.39999,16.96003
24/04/2025 11:30:00,96.76001,84.39998,12.36003
24/04/2025 11:45:00,96.72001,84.39998,12.32003
24/04/2025 12:00:00,92.16,81.20002,10.95998
24/04/2025 12:15:00,90.72,79.6,11.12
24/04/2025 12:30:00,94.92001,81.60001,13.32
24/04/2025 12:45:00,88.76002,76.39999,12.36003
24/04/2025 13:00:00,87.88,76,11.88
24/04/2025 13:15:00,86.32001,74.40001,11.92
24/04/2025 13:30:00,82.04,69.19999,12.84001
24/04/2025 13:45:00,85.68,72.79999,12.88001
24/04/2025 14:00:00,82.51999,69.99998,12.52001
24/04/2025 14:15:00,82.8,70.80001,11.99999
24/04/2025 14:30:00,83.52,70.80001,12.71999
24/04/2025 14:45:00,91.48,78.8,12.68
24/04/2025 15:00:00,86.4,74.40001,11.99999
24/04/2025 15:15:00,88.80001,76.39999,12.40002
24/04/2025 15:30:00,90.60001,78.00001,12.6
24/04/2025 15:45:00,93.16001,80.39999,12.76002
24/04/2025 16:00:00,94.72,82.8,11.92
24/04/2025 16:15:00,94.79999,82.4,12.39999
24/04/2025 16:30:00,97.63999,85.60001,12.03998
24/04/2025 16:45:00,100.51999,88.80001,11.71998
24/04/2025 17:00:00,105.32002,87.59999,17.72003
24/04/2025 17:15:00,106.12001,94.79999,11.32002
24/04/2025 17:30:00,107.20001,97.6,9.60001
24/04/2025 17:45:00,97.96,90.79999,7.16001
24/04/2025 18:00:00,105.08,96.8,8.28
24/04/2025 18:15:00,106.48001,97.2,9.28001
24/04/2025 18:30:00,104.72,96.40001,8.31999
24/04/2025 18:45:00,98.84002,89.6,9.24002
24/04/2025 19:00:00,100.15999,90,10.15999
24/04/2025 19:15:00,100.08,89.6,10.48
24/04/2025 19:30:00,97.2,87.19999,10.00001
24/04/2025 19:45:00,94.43999,83.59999,10.84
24/04/2025 20:00:00,91.84,79.6,12.24
24/04/2025 20:15:00,92.92,81.20002,11.71998
24/04/2025 20:30:00,87.12,75.6,11.52
24/04/2025 20:45:00,85.92001,72.79999,13.12002
24/04/2025 21:00:00,81.11999,68.8,12.31999
24/04/2025 21:15:00,86.15999,74.00002,12.15997
24/04/2025 21:30:00,81.43999,68.8,12.63999
24/04/2025 21:45:00,70.76002,58,12.76002
24/04/2025 22:00:00,71.16001,58.79999,12.36002
24/04/2025 22:15:00,65.84,53.20001,12.63999
24/04/2025 22:30:00,60.88,46.8,14.08
24/04/2025 22:45:00,56.63999,42.40001,14.23998
24/04/2025 23:00:00,54.72,38.40001,16.31999
24/04/2025 23:15:00,49.79999,36.79999,13
24/04/2025 23:30:00,48.84001,35.6,13.24001
24/04/2025 23:45:00,44.92001,31.2,13.72001
25/04/2025 00:00:00,42.68002,29.2,13.48002
25/04/2025 00:15:00,43.36002,30.4,12.96002
25/04/2025 00:30:00,43.12001,29.6,13.52001
25/04/2025 00:45:00,42.95999,28.8,14.15999
25/04/2025 01:00:00,41,28,13
25/04/2025 01:15:00,42.23999,28.8,13.43999
25/04/2025 01:30:00,41.08,27.6,13.48
25/04/2025 01:45:00,40.24001,26,14.24001
25/04/2025 02:00:00,40.39999,27.6,12.79999
25/04/2025 02:15:00,40.03999,26.8,13.23999
25/04/2025 02:30:00,40.28,27.2,13.08
25/04/2025 02:45:00,40.11998,25.6,14.51998
25/04/2025 03:00:00,39.76002,26.4,13.36002
25/04/2025 03:15:00,41.15999,28,13.15999
25/04/2025 03:30:00,40.32,26.4,13.92
25/04/2025 03:45:00,42.00001,28,14.00001
25/04/2025 04:00:00,41.96002,28.8,13.16002
25/04/2025 04:15:00,42.44,29.6,12.84
25/04/2025 04:30:00,45.79999,32,13.79999
25/04/2025 04:45:00,52.76002,36.4,16.36002
25/04/2025 05:00:00,54.4,41.19998,13.20002
25/04/2025 05:15:00,66.03998,53.20001,12.83997
25/04/2025 05:30:00,75.35999,62.79998,12.56001
25/04/2025 05:45:00,85.79999,72.4,13.39999
25/04/2025 06:00:00,93.52001,82.00001,11.52
25/04/2025 06:15:00,104,91.59998,12.40002
25/04/2025 06:30:00,112.92001,101.59999,11.32002
25/04/2025 06:45:00,113.8,102.80002,10.99998
25/04/2025 07:00:00,121.03999,109.19999,11.84
25/04/2025 07:15:00,121.56001,110.00002,11.55999
25/04/2025 07:30:00,118.20002,110.00002,8.2
25/04/2025 07:45:00,116.92001,107.6,9.32001
25/04/2025 08:00:00,117.96001,107.6,10.36001
