Date of Reading,(CUS) IF0832 (Flow) (Flow (m3/hr)),(CUS) IF0833 (Flow) (Flow (m3/hr)),(IN) IF1801 (Flow) (Flow (m3/hr)),(OUT) IF0802 Flow (Flow (m3/hr)),Itchingfield 250mm east TM (Balance) (Flow (m3/hr))
18/08/2022 00:00:00,,,3.812,,3.812
18/08/2022 00:15:00,,,2.448,,2.448
18/08/2022 00:30:00,,,1.928,,1.928
18/08/2022 00:45:00,,,3.36,,3.36
18/08/2022 01:00:00,,,1.804,,1.804
18/08/2022 01:15:00,,,1.848,,1.848
18/08/2022 01:30:00,,,2.056,,2.056
18/08/2022 01:45:00,,,3.404,,3.404
18/08/2022 02:00:00,,,2.568,,2.568
18/08/2022 02:15:00,,,1.904,,1.904
18/08/2022 02:30:00,,,3.256,,3.256
18/08/2022 02:45:00,,,1.816,,1.816
18/08/2022 03:00:00,,,1.928,,1.928
18/08/2022 03:15:00,,,1.976,,1.976
18/08/2022 03:30:00,,,2.024,,2.024
18/08/2022 03:45:00,,,3.32,,3.32
18/08/2022 04:00:00,,,1.94,,1.94
18/08/2022 04:15:00,,,2.16,,2.16
18/08/2022 04:30:00,,,3.82,,3.82
18/08/2022 04:45:00,,,2.468,,2.468
18/08/2022 05:00:00,,,2.42,0,2.42
18/08/2022 05:15:00,,,2.704,0,2.704
18/08/2022 05:30:00,,,3.444,0,3.444
18/08/2022 05:45:00,,,5.068,0,5.068
18/08/2022 06:00:00,,,5.136,0,5.136
18/08/2022 06:15:00,,,8.064,0,8.064
18/08/2022 06:30:00,,,6.928,0,6.928
18/08/2022 06:45:00,,,6.676,0,6.676
18/08/2022 07:00:00,,,10.648,0,10.648
18/08/2022 07:15:00,,,9.304,0,9.304
18/08/2022 07:30:00,,,9.676,0,9.676
18/08/2022 07:45:00,,,8.44,0,8.44
18/08/2022 08:00:00,,,12.004,0,12.004
18/08/2022 08:15:00,,,10.028,0,10.028
18/08/2022 08:30:00,,,7.556,0,7.556
18/08/2022 08:45:00,,,11.06,0,11.06
18/08/2022 09:00:00,,,9.308,0,9.308
18/08/2022 09:15:00,,,11.188,0,11.188
18/08/2022 09:30:00,,,11.296,0,11.296
18/08/2022 09:45:00,,,14.3,0,14.3
18/08/2022 10:00:00,,,16.288,0,16.288
18/08/2022 10:15:00,,,17.204,0,17.204
18/08/2022 10:30:00,,,21.504,0,21.504
18/08/2022 10:45:00,,,13.336,0,13.336
18/08/2022 11:00:00,,,10.736,0,10.736
18/08/2022 11:15:00,,,10.112,0,10.112
18/08/2022 11:30:00,,,10.344,0,10.344
18/08/2022 11:45:00,,,12.232,0,12.232
18/08/2022 12:00:00,,,11.752,0,11.752
18/08/2022 12:15:00,,,11.148,0,11.148
18/08/2022 12:30:00,,,9.492,0,9.492
18/08/2022 12:45:00,,,8.816,0,8.816
18/08/2022 13:00:00,,,10.168,0,10.168
18/08/2022 13:15:00,,,8.28,0,8.28
18/08/2022 13:30:00,,,7.82,0,7.82
18/08/2022 13:45:00,,,6.324,0,6.324
18/08/2022 14:00:00,,,6.396,0,6.396
18/08/2022 14:15:00,,,6.5,0,6.5
18/08/2022 14:30:00,,,3.76,0,3.76
18/08/2022 14:45:00,,,4.276,0,4.276
18/08/2022 15:00:00,,,4.396,0,4.396
18/08/2022 15:15:00,,,4.796,0,4.796
18/08/2022 15:30:00,,,5.308,0,5.308
18/08/2022 15:45:00,,,8.548,0,8.548
18/08/2022 16:00:00,,,5.492,0,5.492
18/08/2022 16:15:00,,,7.212,0,7.212
18/08/2022 16:30:00,,,5.796,0,5.796
18/08/2022 16:45:00,,,6.116,0,6.116
18/08/2022 17:00:00,,,4.964,0,4.964
18/08/2022 17:15:00,,,5.712,0,5.712
