Date of Reading,(IN) Sandown WSW to Cooks Castle WSR (15 Minute Flow - 1) (Flow (m3/hr)),Sandown WSW to Whiteley Bk TM (Balance) (Flow (m3/hr))
23/09/2023 00:00:00,1E-05,1E-05
23/09/2023 00:15:00,-0.09982,-0.09982
23/09/2023 00:30:00,-0.12152,-0.12152
23/09/2023 00:45:00,-0.24522,-0.24522
23/09/2023 01:00:00,-0.09765,-0.09765
23/09/2023 01:15:00,38.41302,38.41302
23/09/2023 01:30:00,142.83411,142.83411
23/09/2023 01:45:00,139.61583,139.61583
23/09/2023 02:00:00,139.65925,139.65925
23/09/2023 02:15:00,139.47695,139.47695
23/09/2023 02:30:00,139.78511,139.78511
23/09/2023 02:45:00,141.51902,141.51902
23/09/2023 03:00:00,139.01471,139.01471
23/09/2023 03:15:00,135.76389,135.76389
23/09/2023 03:30:00,134.44015,134.44015
23/09/2023 03:45:00,137.55856,137.55856
23/09/2023 04:00:00,137.67361,137.67361
23/09/2023 04:15:00,136.39106,136.39106
23/09/2023 04:30:00,137.71265,137.71265
23/09/2023 04:45:00,139.65056,139.65056
23/09/2023 05:00:00,137.84502,137.84502
23/09/2023 05:15:00,136.95745,136.95745
23/09/2023 05:30:00,135.48395,135.48395
23/09/2023 05:45:00,136.49306,136.49306
23/09/2023 06:00:00,135.33855,135.33855
23/09/2023 06:15:00,134.5009,134.5009
23/09/2023 06:30:00,99.1868,99.1868
23/09/2023 06:45:00,-0.1085,-0.1085
23/09/2023 07:00:00,-0.03472,-0.03472
23/09/2023 07:15:00,-0.1519,-0.1519
23/09/2023 07:30:00,-0.23436,-0.23436
23/09/2023 07:45:00,-0.12586,-0.12586
23/09/2023 08:00:00,-0.1736,-0.1736
23/09/2023 08:15:00,-0.15624,-0.15624
23/09/2023 08:30:00,-0.11501,-0.11501
23/09/2023 08:45:00,-0.24305,-0.24305
23/09/2023 09:00:00,-0.11935,-0.11935
23/09/2023 09:15:00,-0.06727,-0.06727
23/09/2023 09:30:00,-0.14105,-0.14105
23/09/2023 09:45:00,-0.09765,-0.09765
23/09/2023 10:00:00,-0.13671,-0.13671
23/09/2023 10:15:00,-0.16709,-0.16709
23/09/2023 10:30:00,-0.19314,-0.19314
23/09/2023 10:45:00,-0.19531,-0.19531
23/09/2023 11:00:00,-0.14756,-0.14756
23/09/2023 11:15:00,-0.19314,-0.19314
23/09/2023 11:30:00,-0.10199,-0.10199
23/09/2023 11:45:00,-0.16492,-0.16492
23/09/2023 12:00:00,-0.32334,-0.32334
23/09/2023 12:15:00,-0.24522,-0.24522
23/09/2023 12:30:00,-0.27994,-0.27994
23/09/2023 12:45:00,-0.21049,-0.21049
23/09/2023 13:00:00,-0.19531,-0.19531
23/09/2023 13:15:00,-0.29296,-0.29296
23/09/2023 13:30:00,-0.21918,-0.21918
23/09/2023 13:45:00,-0.04557,-0.04557
23/09/2023 14:00:00,-0.22569,-0.22569
23/09/2023 14:15:00,-0.18011,-0.18011
23/09/2023 14:30:00,-0.18011,-0.18011
23/09/2023 14:45:00,-0.09982,-0.09982
23/09/2023 15:00:00,-0.2322,-0.2322
23/09/2023 15:15:00,-0.21266,-0.21266
23/09/2023 15:30:00,-0.14539,-0.14539
23/09/2023 15:45:00,-0.29296,-0.29296
23/09/2023 16:00:00,-0.19096,-0.19096
23/09/2023 16:15:00,-0.2756,-0.2756
23/09/2023 16:30:00,-0.13454,-0.13454
