Date of Reading,(CUS) LR0430 (Flow) (Flow (m3/hr)),(IN) LR0401 (Flow) (Flow (m3/hr)),Peacehaven WWTW trunk main (Balance) (Flow (m3/hr))
05/04/2022 00:00:00,3.8,5.84,2.04
05/04/2022 00:15:00,3.4,5.28,1.88
05/04/2022 00:30:00,3,4.8,1.8
05/04/2022 00:45:00,2.8,4.36,1.56
05/04/2022 01:00:00,2.4,4.04,1.64
05/04/2022 01:15:00,2.4,3.68,1.28
05/04/2022 01:30:00,2.2,3.36,1.16
05/04/2022 01:45:00,1.8,3.12,1.32
05/04/2022 02:00:00,2,2.88,0.88
05/04/2022 02:15:00,1.6,2.8,1.2
05/04/2022 02:30:00,1.8,2.68,0.88
05/04/2022 02:45:00,1.6,2.64,1.04
05/04/2022 03:00:00,1.6,2.64,1.04
05/04/2022 03:15:00,2,3.12,1.12
05/04/2022 03:30:00,2.8,4.36,1.56
05/04/2022 03:45:00,3.8,6,2.2
05/04/2022 04:00:00,4,6.28,2.28
05/04/2022 04:15:00,3.6,5.8,2.2
05/04/2022 04:30:00,3.4,5.2,1.8
05/04/2022 04:45:00,2.8,4.6,1.8
05/04/2022 05:00:00,2.6,4.12,1.52
05/04/2022 05:15:00,2.4,3.8,1.4
05/04/2022 05:30:00,2.4,3.56,1.16
05/04/2022 05:45:00,2,3.28,1.28
05/04/2022 06:00:00,2,3,1
05/04/2022 06:15:00,1.8,2.92,1.12
05/04/2022 06:30:00,1.6,2.76,1.16
05/04/2022 06:45:00,1.8,2.64,0.84
05/04/2022 07:00:00,1.6,2.68,1.08
05/04/2022 07:15:00,1.8,3,1.2
05/04/2022 07:30:00,2.6,3.96,1.36
05/04/2022 07:45:00,3.4,5.48,2.08
05/04/2022 08:00:00,4.2,6.36,2.16
05/04/2022 08:15:00,3.6,5.88,2.28
05/04/2022 08:30:00,3.4,5.36,1.96
05/04/2022 08:45:00,3,4.72,1.72
05/04/2022 09:00:00,3,4.56,1.56
05/04/2022 09:15:00,2.6,4.16,1.56
05/04/2022 09:30:00,2.4,3.88,1.48
05/04/2022 09:45:00,2.4,3.6,1.2
05/04/2022 10:00:00,2,3.4,1.4
05/04/2022 10:15:00,2,3.08,1.08
05/04/2022 10:30:00,2,3.08,1.08
05/04/2022 10:45:00,1.8,3.08,1.28
05/04/2022 11:00:00,2.8,4.4,1.6
05/04/2022 11:15:00,5.8,8.96,3.16
05/04/2022 11:30:00,9,14.08,5.08
05/04/2022 11:45:00,11.4,17.96,6.56
05/04/2022 12:00:00,12,18.96,6.96
05/04/2022 12:15:00,11.4,18.08,6.68
05/04/2022 12:30:00,11.6,18.12,6.52
05/04/2022 12:45:00,11.8,18.52,6.72
05/04/2022 13:00:00,11.6,18.36,6.76
05/04/2022 13:15:00,10,15.48,5.48
05/04/2022 13:30:00,8.8,13.6,4.8
05/04/2022 13:45:00,8,12.64,4.64
05/04/2022 14:00:00,7.8,11.96,4.16
05/04/2022 14:15:00,6,9.2,3.2
05/04/2022 14:30:00,4.6,7.32,2.72
05/04/2022 14:45:00,4,6.12,2.12
05/04/2022 15:00:00,3.4,5.36,1.96
05/04/2022 15:15:00,3,4.72,1.72
05/04/2022 15:30:00,3.2,5.16,1.96
05/04/2022 15:45:00,4,6.28,2.28
05/04/2022 16:00:00,5.2,7.96,2.76
05/04/2022 16:15:00,5.4,8.44,3.04
05/04/2022 16:30:00,4.6,7.4,2.8
05/04/2022 16:45:00,4,6.32,2.32
05/04/2022 17:00:00,3.6,5.44,1.84
05/04/2022 17:15:00,3,4.72,1.72
05/04/2022 17:30:00,2.6,4.24,1.64
05/04/2022 17:45:00,2.4,3.84,1.44
05/04/2022 18:00:00,2.2,3.44,1.24
05/04/2022 18:15:00,2,3.2,1.2
05/04/2022 18:30:00,1.8,2.88,1.08
05/04/2022 18:45:00,1.8,2.76,0.96
05/04/2022 19:00:00,1.6,2.64,1.04
05/04/2022 19:15:00,1.6,2.52,0.92
05/04/2022 19:30:00,1.8,2.8,1
05/04/2022 19:45:00,2.4,3.72,1.32
05/04/2022 20:00:00,3.4,5.32,1.92
05/04/2022 20:15:00,4.2,6.72,2.52
05/04/2022 20:30:00,3.8,6.28,2.48
05/04/2022 20:45:00,3.6,5.56,1.96
05/04/2022 21:00:00,3.2,4.96,1.76
05/04/2022 21:15:00,2.8,4.48,1.68
