Date of Reading,(CUS) UN0633 (Flow) (Flow (m3/hr)),(CUS) UN0630 (Flow) (Flow (m3/hr)),(IN) NX1201 (Flow) (Flow (m3/hr)),(OUT) UN0401 (Flow) (Flow (m3/hr)),(OUT) UN0601 (Flow) (Flow (m3/hr)),(OUT) UN0602 Flow (Flow (m3/hr)),(OUT) UN1301 15 Min flow (Flow (m3/hr)),(OUT) UN0402 Flow (Flow (m3/hr)),Pulborough 200mm Trunk main (Balance) (Flow (m3/hr))
26/04/2021 00:00:00,,,26,12.84,12.12,,,,1.04
26/04/2021 00:15:00,,,28.4,13.2,13.96,,,,1.24
26/04/2021 00:30:00,,,26,12.96,12.08,,,,0.96
26/04/2021 00:45:00,,,25.6,12.88,11.52,,,,1.2
26/04/2021 01:00:00,,,25.2,13,11.24,,,,0.96
26/04/2021 01:15:00,,,25.6,13.6,11.16,,,,0.84
26/04/2021 01:30:00,,,25.6,13.44,11.04,,,,1.12
26/04/2021 01:45:00,,,25.6,13.56,10.88,,,,1.16
26/04/2021 02:00:00,,,24.8,13.24,10.76,,,,0.8
26/04/2021 02:15:00,,,25.6,13.44,10.92,,,,1.24
26/04/2021 02:30:00,,,25.6,13.52,11.2,,,,0.88
26/04/2021 02:45:00,,,25.6,13.44,10.92,,,,1.24
26/04/2021 03:00:00,,,24.8,13.16,10.88,,,,0.76
26/04/2021 03:15:00,,,25.6,13.04,11.28,,,,1.28
26/04/2021 03:30:00,,,26,12.84,12.36,,,,0.8
26/04/2021 03:45:00,,,26.4,13.08,12.28,,,,1.04
26/04/2021 04:00:00,,,26.4,13.04,12.08,,,,1.28
26/04/2021 04:15:00,,,29.6,13.32,15.04,,,,1.24
26/04/2021 04:30:00,,,29.2,14.32,13.88,,,,1
26/04/2021 04:45:00,,,34.4,14.12,18.6,,,,1.68
26/04/2021 05:00:00,,,37.19999,15.36,20.16,,,,1.67999
26/04/2021 05:15:00,,,43.99999,17.52,24.64,,,,1.83999
26/04/2021 05:30:00,,,51.19999,19.92,29.32,,,,1.95999
26/04/2021 05:45:00,,,58,25.6,29.92,,,,2.48
26/04/2021 06:00:00,,,70.40002,28.6,38.72002,,,,3.08
