Date of Reading,(IN) NX1301 (Flow) (Flow (m3/hr)),(OUT) CS0401 (Flow) (Flow (m3/hr)),(OUT) CS1201 (Flow) (Flow (m3/hr)),(OUT) CS0501 (Flow) (Flow (m3/hr)),(OUT) CS0301 (Flow) (Flow (m3/hr)),(OUT) CS0101 (Flow) (Flow (m3/hr)),(OUT) CS0202 (Flow) (Flow (m3/hr)),Coltstaple 400mm trunk main (Balance) (Flow (m3/hr))
26/04/2021 00:00:00,68.8,11.68,11.6,17.4,10.52,12.48,4.24,0.88
26/04/2021 00:15:00,67.20001,12.96,10.4,17.6,10.2,11.68,4.32,0.04001
26/04/2021 00:30:00,65.99999,12.36,10,17.28,10.64,11.48,4.12,0.11999
26/04/2021 00:45:00,65.59999,12.52,10,17.36,10.12,11.2,3.96,0.43999
26/04/2021 01:00:00,66.39998,13.36,10,17.36,9.84,11.36,4.04,0.43998
26/04/2021 01:15:00,66.80002,13.12,10.8,17.16,9.68,11.36,5,-0.31998
26/04/2021 01:30:00,68.4,13.32,10,16.92,9.96,11.6,5.76,0.84
26/04/2021 01:45:00,68.4,13.36,10.4,17.28,9.88,11.32,5.88,0.28
26/04/2021 02:00:00,66.80002,12.64,9.6,16.12,10.12,11.4,5.84,1.08002
26/04/2021 02:15:00,65.59999,11.76,9.6,16.04,10.24,11.96,5.76,0.23999
26/04/2021 02:30:00,64.00001,11.32,9.2,15.68,10.12,11.12,5.8,0.76001
26/04/2021 02:45:00,63.60001,11.28,8.8,16.04,9.84,11.24,5.92,0.48001
26/04/2021 03:00:00,63.60001,11.2,9.2,16.04,9.72,11.24,5.68,0.52001
26/04/2021 03:15:00,64.8,11.28,10.4,16.44,9.64,11.08,5.92,0.04
26/04/2021 03:30:00,67.20001,12.16,10.4,17.04,9.6,11.16,5.8,1.04001
26/04/2021 03:45:00,67.60001,11.84,11.2,16.68,10.2,11.2,5.96,0.52001
26/04/2021 04:00:00,68.8,12.28,11.6,17.12,10.68,11.16,5.92,0.04
26/04/2021 04:15:00,73.59998,13.2,13.2,18.32,10.96,11.4,6.4,0.11998
26/04/2021 04:30:00,78.00001,13.44,14,19.16,11.96,13.2,6,0.24001
26/04/2021 04:45:00,83.59999,15,14.8,22.32,12.44,12.52,6.2,0.31999
26/04/2021 05:00:00,93.2,16.44,18,25,13.48,13.64,6.96,-0.32
26/04/2021 05:15:00,107.20001,20.36,19.2,30.44,15.6,14.24,8.04,-0.67999
26/04/2021 05:30:00,126,24.6,22,36.51998,19.64,16.56,7.72,-1.03998
26/04/2021 05:45:00,154.8,26.84,29.2,45.68,24.32,20.84,7.64,0.28
26/04/2021 06:00:00,173.60003,32.68,31.6,51.59999,27,23.8,9.52,-2.59996
26/04/2021 06:15:00,198.4,41.19998,37.19999,57.12001,31.52,22.76,11.04,-2.43998
26/04/2021 06:30:00,212,40.92001,43.6,61.27999,34.4,23.68,11.08,-2.96
26/04/2021 06:45:00,218.80001,42.91999,46.8,63.52002,32.76,26.16,9.72,-3.08
26/04/2021 07:00:00,220.80002,44.03999,43.99999,64.87999,34.2,24.44,12.16,-2.91995
26/04/2021 07:15:00,222.40001,44.03999,42.8,65.04001,35.24,25.6,12.84,-3.15999
26/04/2021 07:30:00,224.80002,43.48001,43.99999,67.16002,34,27.08,12.24,-3.16
26/04/2021 07:45:00,218.40001,42.68002,43.6,60.12,34.08,28.88,12.08,-3.04001
26/04/2021 08:00:00,220,41.64001,42.8,63.52002,33.76,27.92,13.36,-3.00003
26/04/2021 08:15:00,222.8,39.2,43.99999,64.8,35.76,27.92,14.32,-3.19999
26/04/2021 08:30:00,206.80002,37.59998,39.2,58.96001,34.92,26.68,12.36,-2.91997
26/04/2021 08:45:00,206.40002,42.48,36.79999,56.08001,33.68,27.36,12.36,-2.35998
26/04/2021 09:00:00,202.40003,40.79999,38.40001,50.28001,36.24001,27.24,11.88,-2.43999
26/04/2021 09:15:00,206.80002,37.12,38.40001,58.43999,35.72,28.04,11.88,-2.79998
26/04/2021 09:30:00,201.2,38.00002,37.19999,53.92001,34.6,27.92,11.6,-2.04002
26/04/2021 09:45:00,200.00002,36.32,40,53.71999,33.36,26.84,11.96,-2.19997
26/04/2021 10:00:00,191.60003,36.47999,37.59998,51.64002,30.16,25.84,11.76,-1.87996
26/04/2021 10:15:00,191.60003,35.04,35.6,51.91999,31.76,26.48,12.72,-1.91996
26/04/2021 10:30:00,194,36.24001,36.79999,52.96,30.64,26.52,13.08,-2.24
26/04/2021 10:45:00,192.40002,34.08,38.00002,51.99998,30.64,27.04,12.8,-2.15998
26/04/2021 11:00:00,187.6,32.84,35.2,50.92002,28.32,28.56,13.44,-1.68002
26/04/2021 11:15:00,194.8,34.6,35.6,52.48001,31.28,29.72,13.28,-2.16001
26/04/2021 11:30:00,189.60001,30.6,35.6,50.68001,32.44,28.08,12.8,-0.6
26/04/2021 11:45:00,189.20002,31.84,35.6,49.72,32.76,28.12,12.6,-1.43998
26/04/2021 12:00:00,184.80002,31.52,32.8,48.96,32.68,28.24,12.88,-2.27998
26/04/2021 12:15:00,184.80002,31.28,33.6,51.27998,32.36,25.52,13.28,-2.51996
26/04/2021 12:30:00,172.00001,28.48,31.6,46.48,30.24,24.24,12.56,-1.59999
26/04/2021 12:45:00,169.99999,27.84,30.4,46.64002,29.12,24.64,12.96,-1.60003
26/04/2021 13:00:00,173.60003,29.24,28.8,49.96001,29.88,24.84,12.96,-2.07998
26/04/2021 13:15:00,171.60001,27.96,29.6,47.27999,31.08,25.32,12.56,-2.19998
26/04/2021 13:30:00,165.2,27.16,28,44.28,29.8,25.24,12.08,-1.36
26/04/2021 13:45:00,174.00002,28.72,31.6,47.40001,29.6,25.6,13,-1.91999
26/04/2021 14:00:00,172.8,29.04,31.6,46.76,29.32,25.48,12.36,-1.76
26/04/2021 14:15:00,169.99999,29.24,31.6,44.39999,28,26.52,12.12,-1.88
26/04/2021 14:30:00,172.00001,28.08,32.4,45.32,27.84,28.16,11.48,-1.27999
26/04/2021 14:45:00,168.8,26.4,32.4,41.72,29,30.24,10.44,-1.4
26/04/2021 15:00:00,176.4,30,32,48.76002,29.44,28.08,10.12,-2.00002
