Date of Reading,(IN) PY0301 Calceto Farm (15 Minute Flow - 1) (Flow (m3/hr)),(OUT) CX0502 (Flow) (Flow (m3/hr)),Calceto Fm to Bodyshop PRV transfer TM (Balance) (Flow (m3/hr))
02/04/2023 00:00:00,0,0,0
02/04/2023 00:15:00,0.4,0,0.4
02/04/2023 00:30:00,0,0,0
02/04/2023 00:45:00,0.4,0,0.4
02/04/2023 01:00:00,0,0,0
02/04/2023 01:15:00,0,0,0
02/04/2023 01:30:00,0,0,0
02/04/2023 01:45:00,0,0,0
02/04/2023 02:00:00,0,0,0
02/04/2023 02:15:00,0,0,0
02/04/2023 02:30:00,0,0,0
02/04/2023 02:45:00,0,0,0
02/04/2023 03:00:00,0,0,0
02/04/2023 03:15:00,0,0,0
02/04/2023 03:30:00,0,0,0
02/04/2023 03:45:00,0,0,0
02/04/2023 04:00:00,0,0,0
02/04/2023 04:15:00,0,0,0
02/04/2023 04:30:00,0,0,0
02/04/2023 04:45:00,0,0,0
02/04/2023 05:00:00,0,0.4,-0.4
02/04/2023 05:15:00,0,2.4,-2.4
02/04/2023 05:30:00,0.4,10.4,-10
02/04/2023 05:45:00,0,26.4,-26.4
02/04/2023 06:00:00,0.4,44.79998,-44.39998
02/04/2023 06:15:00,2.4,68,-65.6
02/04/2023 06:30:00,10.4,91.19999,-80.79999
02/04/2023 06:45:00,26,114.40001,-88.40001
02/04/2023 07:00:00,44.79998,129.6,-84.80002
02/04/2023 07:15:00,67.60001,141.19999,-73.59998
02/04/2023 07:30:00,91.19999,150.8,-59.60001
02/04/2023 07:45:00,114.40001,157.60001,-43.2
02/04/2023 08:00:00,130,161.6,-31.6
02/04/2023 08:15:00,141.19999,162.4,-21.20001
02/04/2023 08:30:00,150.40001,168.00001,-17.6
02/04/2023 08:45:00,158,164.80001,-6.80001
02/04/2023 09:00:00,162,160.00002,1.99998
02/04/2023 09:15:00,162.4,152.80002,9.59998
02/04/2023 09:30:00,168.00001,149.20002,18.79999
02/04/2023 09:45:00,165.2,148.80002,16.39998
02/04/2023 10:00:00,159.60002,142.80001,16.80001
02/04/2023 10:15:00,152.80002,139.20001,13.60001
02/04/2023 10:30:00,149.20002,133.2,16.00002
02/04/2023 10:45:00,148.80002,126.79999,22.00003
02/04/2023 11:00:00,142.80001,118.4,24.40001
02/04/2023 11:15:00,139.20001,118.8,20.40001
02/04/2023 11:30:00,132.8,110.00002,22.79998
02/04/2023 11:45:00,118.4,105.59999,12.80001
02/04/2023 12:00:00,117.60001,105.59999,12.00002
02/04/2023 12:15:00,119.2,101.2,18
02/04/2023 12:30:00,109.59998,94,15.59998
02/04/2023 12:45:00,105.59999,87.59999,18
02/04/2023 13:00:00,105.59999,90.4,15.19999
02/04/2023 13:15:00,100.8,89.20001,11.59999
02/04/2023 13:30:00,93.6,90,3.6
02/04/2023 13:45:00,87.59999,83.99999,3.6
02/04/2023 14:00:00,90.79999,88.40002,2.39997
02/04/2023 14:15:00,89.20001,90.4,-1.19999
02/04/2023 14:30:00,90,97.2,-7.2
02/04/2023 14:45:00,84.39998,94,-9.60002
02/04/2023 15:00:00,87.99998,91.19999,-3.20001
02/04/2023 15:15:00,90.79999,92.80001,-2.00002
02/04/2023 15:30:00,97.2,100.00001,-2.80001
02/04/2023 15:45:00,94.39999,104.8,-10.40001
02/04/2023 16:00:00,91.19999,104,-12.80001
02/04/2023 16:15:00,93.2,118.00001,-24.80001
02/04/2023 16:30:00,100.00001,121.20001,-21.2
02/04/2023 16:45:00,105.19999,124.40002,-19.20003
02/04/2023 17:00:00,104.4,124.80001,-20.40001
02/04/2023 17:15:00,118.00001,129.2,-11.19999
02/04/2023 17:30:00,113.60002,122,-8.39998
02/04/2023 17:45:00,124.80001,116.40002,8.39999
02/04/2023 18:00:00,124.00002,109.19999,14.80003
02/04/2023 18:15:00,129.6,106.40002,23.19998
02/04/2023 18:30:00,121.60001,94,27.60001
02/04/2023 18:45:00,116.40002,86,30.40002
02/04/2023 19:00:00,108.79999,80.39999,28.4
02/04/2023 19:15:00,105.99998,79.99999,25.99999
02/04/2023 19:30:00,94,69.99998,24.00002
02/04/2023 19:45:00,85.60001,52.40002,33.19999
02/04/2023 20:00:00,80.39999,44.79998,35.60001
02/04/2023 20:15:00,80.39999,60.40001,19.99998
02/04/2023 20:30:00,69.99998,52.80001,17.19997
02/04/2023 20:45:00,51.99998,41.60002,10.39996
02/04/2023 21:00:00,43.99999,22.4,21.59999
02/04/2023 21:15:00,60.40001,11.2,49.20001
02/04/2023 21:30:00,52.40002,3.2,49.20002
02/04/2023 21:45:00,41.19998,1.6,39.59998
02/04/2023 22:00:00,22.4,0,22.4
02/04/2023 22:15:00,10.8,0,10.8
02/04/2023 22:30:00,2.8,0,2.8
02/04/2023 22:45:00,1.6,0,1.6
02/04/2023 23:00:00,0.4,0,0.4
02/04/2023 23:15:00,0.4,0,0.4
02/04/2023 23:30:00,0.4,0,0.4
02/04/2023 23:45:00,0,0,0
03/04/2023 00:00:00,0.4,0,0.4
03/04/2023 00:15:00,0.4,0,0.4
03/04/2023 00:30:00,0,0,0
03/04/2023 00:45:00,0,0,0
03/04/2023 01:00:00,0,0,0
03/04/2023 01:15:00,0,0,0
03/04/2023 01:30:00,0,0,0
03/04/2023 01:45:00,0,0,0
03/04/2023 02:00:00,0,0,0
03/04/2023 02:15:00,0,0,0
03/04/2023 02:30:00,0,0,0
03/04/2023 02:45:00,0,0,0
03/04/2023 03:00:00,0,0,0
03/04/2023 03:15:00,0,0,0
03/04/2023 03:30:00,0,0,0
03/04/2023 03:45:00,0,0,0
03/04/2023 04:00:00,0,0,0
03/04/2023 04:15:00,0,0.8,-0.8
03/04/2023 04:30:00,0,4.4,-4.4
03/04/2023 04:45:00,0,24.8,-24.8
03/04/2023 05:00:00,0.4,47.99999,-47.59999
03/04/2023 05:15:00,0.8,70.80001,-70.00001
03/04/2023 05:30:00,4.4,94.79999,-90.39999
03/04/2023 05:45:00,24.4,103.20001,-78.80001
03/04/2023 06:00:00,47.59999,113.60002,-66.00003
03/04/2023 06:15:00,70.80001,125.6,-54.79999
03/04/2023 06:30:00,95.19998,142.40002,-47.20004
03/04/2023 06:45:00,103.60001,139.60001,-36
03/04/2023 07:00:00,113.60002,149.60002,-36
03/04/2023 07:15:00,125.6,154.8,-29.2
03/04/2023 07:30:00,142.00002,148,-5.99998
03/04/2023 07:45:00,139.60001,151.6,-11.99999
03/04/2023 08:00:00,150.00001,148.39999,1.60002
03/04/2023 08:15:00,154.8,146.00002,8.79998
03/04/2023 08:30:00,148,130.80002,17.19998
03/04/2023 08:45:00,151.2,131.20002,19.99998
03/04/2023 09:00:00,148.39999,129.6,18.79999
03/04/2023 09:15:00,146.00002,124.00002,22
03/04/2023 09:30:00,130,108.79999,21.20001
03/04/2023 09:45:00,131.20002,104.8,26.40002
03/04/2023 10:00:00,129.6,104.4,25.2
03/04/2023 10:15:00,123.60002,92.00002,31.6
03/04/2023 10:30:00,108.79999,90.4,18.39999
03/04/2023 10:45:00,104.4,83.59999,20.80001
03/04/2023 11:00:00,96.8,82.8,14
03/04/2023 11:15:00,91.59998,86,5.59998
03/04/2023 11:30:00,90.4,80.39999,10.00001
03/04/2023 11:45:00,83.2,82.00001,1.19999
03/04/2023 12:00:00,82.8,80.39999,2.40001
03/04/2023 12:15:00,86,71.20001,14.79999
03/04/2023 12:30:00,80.39999,60.00001,20.39998
03/04/2023 12:45:00,82.00001,58,24.00001
03/04/2023 13:00:00,80.79998,61.99999,18.79999
03/04/2023 13:15:00,70.40002,61.99999,8.40003
03/04/2023 13:30:00,60.40001,63.60001,-3.2
03/04/2023 13:45:00,57.2,54.4,2.8
03/04/2023 14:00:00,61.99999,59.19998,2.80001
03/04/2023 14:15:00,61.99999,63.60001,-1.60002
03/04/2023 14:30:00,63.20002,68,-4.79998
03/04/2023 14:45:00,54.4,76.39999,-21.99999
03/04/2023 15:00:00,58.79999,74.80001,-16.00002
03/04/2023 15:15:00,63.20002,88.40002,-25.2
03/04/2023 15:30:00,68,97.99999,-29.99999
03/04/2023 15:45:00,76.39999,107.6,-31.20001
03/04/2023 16:00:00,74.80001,108,-33.19999
03/04/2023 16:15:00,88.80001,112.79999,-23.99998
03/04/2023 16:30:00,97.99999,122,-24.00001
03/04/2023 16:45:00,100.4,121.20001,-20.80001
03/04/2023 17:00:00,108.4,126.4,-18
03/04/2023 17:15:00,113.19998,130.39999,-17.20001
03/04/2023 17:30:00,121.60001,122.4,-0.79999
03/04/2023 17:45:00,121.20001,119.59999,1.60002
03/04/2023 18:00:00,126.4,108,18.4
03/04/2023 18:15:00,130,101.99999,28.00001
03/04/2023 18:30:00,122.4,86.8,35.6
03/04/2023 18:45:00,119.59999,79.2,40.39999
03/04/2023 19:00:00,107.6,71.6,36
03/04/2023 19:15:00,101.59999,74.40001,27.19998
03/04/2023 19:30:00,86.4,62.79998,23.60002
03/04/2023 19:45:00,79.2,54.4,24.8
03/04/2023 20:00:00,72,44.79998,27.20002
03/04/2023 20:15:00,74.00002,50.8,23.20002
03/04/2023 20:30:00,62.79998,44.39999,18.39999
03/04/2023 20:45:00,54,36,18
03/04/2023 21:00:00,43.99999,19.2,24.79999
03/04/2023 21:15:00,50.4,9.6,40.8
03/04/2023 21:30:00,44.39999,2.4,41.99999
03/04/2023 21:45:00,35.6,0.8,34.8
03/04/2023 22:00:00,18.8,0,18.8
03/04/2023 22:15:00,9.2,0,9.2
03/04/2023 22:30:00,2.4,0,2.4
03/04/2023 22:45:00,0.8,0,0.8
03/04/2023 23:00:00,0.4,0,0.4
03/04/2023 23:15:00,0.4,0,0.4
03/04/2023 23:30:00,0,0,0
03/04/2023 23:45:00,0.4,0,0.4
04/04/2023 00:00:00,0,0,0
04/04/2023 00:15:00,0.4,0,0.4
04/04/2023 00:30:00,0,0,0
04/04/2023 00:45:00,0,0,0
04/04/2023 01:00:00,0,0,0
04/04/2023 01:15:00,0,0,0
04/04/2023 01:30:00,0,0,0
04/04/2023 01:45:00,0,0,0
04/04/2023 02:00:00,0,0,0
04/04/2023 02:15:00,0,0,0
04/04/2023 02:30:00,0,0,0
04/04/2023 02:45:00,0,0,0
04/04/2023 03:00:00,0,0,0
04/04/2023 03:15:00,0,0,0
04/04/2023 03:30:00,0,0,0
04/04/2023 03:45:00,0,0,0
04/04/2023 04:00:00,0,0,0
04/04/2023 04:15:00,0,0.8,-0.8
04/04/2023 04:30:00,0,7.6,-7.6
04/04/2023 04:45:00,0,30.4,-30.4
04/04/2023 05:00:00,0.4,49.20001,-48.80001
04/04/2023 05:15:00,1.2,76.39999,-75.19999
04/04/2023 05:30:00,7.2,92.80001,-85.60001
04/04/2023 05:45:00,30,101.59999,-71.59999
04/04/2023 06:00:00,48.80002,119.59999,-70.79997
04/04/2023 06:15:00,76.79999,124.00002,-47.20003
04/04/2023 06:30:00,92.80001,135.60001,-42.8
04/04/2023 06:45:00,101.99999,142.80001,-40.80002
04/04/2023 07:00:00,119.59999,150.40001,-30.80002
04/04/2023 07:15:00,123.60002,153.20002,-29.6
04/04/2023 07:30:00,135.20002,148.80002,-13.6
04/04/2023 07:45:00,143.20001,138.40002,4.79999
04/04/2023 08:00:00,150.40001,133.6,16.80001
04/04/2023 08:15:00,153.20002,131.60002,21.6
04/04/2023 08:30:00,148.39999,122.8,25.59999
04/04/2023 08:45:00,138.40002,114.8,23.60002
04/04/2023 09:00:00,133.6,114.40001,19.19999
04/04/2023 09:15:00,132.00001,105.99998,26.00003
04/04/2023 09:30:00,122.4,101.59999,20.80001
04/04/2023 09:45:00,115.2,94.39999,20.80001
04/04/2023 10:00:00,114.40001,87.59999,26.80002
04/04/2023 10:15:00,98.79998,82.4,16.39998
04/04/2023 10:30:00,101.2,86.4,14.8
04/04/2023 10:45:00,94.39999,86,8.39999
04/04/2023 11:00:00,87.19999,74.80001,12.39998
04/04/2023 11:15:00,82.8,74.80001,7.99999
04/04/2023 11:30:00,86.4,68.8,17.6
04/04/2023 11:45:00,86,70.40002,15.59998
04/04/2023 12:00:00,74.40001,62.79998,11.60003
04/04/2023 12:15:00,75.2,58.39999,16.80001
04/04/2023 12:30:00,68.8,62.79998,6.00002
04/04/2023 12:45:00,70.40002,57.2,13.20002
04/04/2023 13:00:00,62.39999,59.60002,2.79997
04/04/2023 13:15:00,58,49.60001,8.39999
04/04/2023 13:30:00,62.79998,51.19999,11.59999
04/04/2023 13:45:00,57.2,61.2,-4
04/04/2023 14:00:00,59.19998,58,1.19998
04/04/2023 14:15:00,49.20001,63.20002,-14.00001
04/04/2023 14:30:00,50.8,68,-17.2
04/04/2023 14:45:00,61.2,73.59998,-12.39998
04/04/2023 15:00:00,57.6,78.8,-21.2
04/04/2023 15:15:00,63.20002,84.39998,-21.19996
04/04/2023 15:30:00,68,98.39999,-30.39999
04/04/2023 15:45:00,73.19999,105.19999,-32
04/04/2023 16:00:00,73.59998,108.79999,-35.20001
04/04/2023 16:15:00,84.80002,124.40002,-39.6
04/04/2023 16:30:00,98.39999,120.80002,-22.40003
04/04/2023 16:45:00,105.59999,124.80001,-19.20002
04/04/2023 17:00:00,109.19999,135.60001,-26.40002
04/04/2023 17:15:00,123.60002,130,-6.39998
04/04/2023 17:30:00,120.80002,122,-1.19998
04/04/2023 17:45:00,124.40002,115.99999,8.40003
04/04/2023 18:00:00,136.00001,100.00001,36
04/04/2023 18:15:00,130,106.80001,23.19999
04/04/2023 18:30:00,121.60001,94.79999,26.80002
04/04/2023 18:45:00,115.6,84.39998,31.20002
04/04/2023 19:00:00,100.00001,78.40001,21.6
04/04/2023 19:15:00,106.40002,76.79999,29.60003
04/04/2023 19:30:00,94.79999,65.99999,28.8
04/04/2023 19:45:00,84.39998,45.60001,38.79997
04/04/2023 20:00:00,78.40001,46.4,32.00001
04/04/2023 20:15:00,76.79999,55.59998,21.20001
04/04/2023 20:30:00,65.59999,43.2,22.39999
04/04/2023 20:45:00,45.20002,26.8,18.40002
04/04/2023 21:00:00,46.00001,14,32.00001
04/04/2023 21:15:00,55.59998,7.6,47.99998
04/04/2023 21:30:00,42.40001,2.4,40.00001
04/04/2023 21:45:00,26.4,1.6,24.8
04/04/2023 22:00:00,12.8,0.4,12.4
04/04/2023 22:15:00,7.6,0,7.6
04/04/2023 22:30:00,2,0,2
04/04/2023 22:45:00,1.6,0,1.6
04/04/2023 23:00:00,0.8,0,0.8
04/04/2023 23:15:00,0,0,0
04/04/2023 23:30:00,0.4,0,0.4
04/04/2023 23:45:00,0.4,0,0.4
05/04/2023 00:00:00,0,0,0
05/04/2023 00:15:00,0.4,0,0.4
05/04/2023 00:30:00,0,0,0
