Date of Reading,(IN) SD1101 (Flow) (Flow (m3/hr)),(OUT) SD1003 (Flow) (Flow (m3/hr)),Southdown WSR 12" outlet TM to Queenborough (Balance) (Flow (m3/hr))
05/04/2022 00:00:00,35.6,27.2,8.4
05/04/2022 00:15:00,36,28,8
05/04/2022 00:30:00,36.79999,28,8.79999
05/04/2022 00:45:00,36.4,27.33333,9.06667
05/04/2022 01:00:00,32.4,24.8,7.6
05/04/2022 01:15:00,35.6,28.66667,6.93333
05/04/2022 01:30:00,35.6,27.2,8.4
05/04/2022 01:45:00,34.4,26,8.4
05/04/2022 02:00:00,33.2,25.2,8
05/04/2022 02:15:00,34.8,26.66667,8.13333
05/04/2022 02:30:00,35.2,27.6,7.6
05/04/2022 02:45:00,31.6,24,7.6
05/04/2022 03:00:00,35.2,27.2,8
05/04/2022 03:15:00,34.8,26.66667,8.13333
05/04/2022 03:30:00,32.8,26,6.8
05/04/2022 03:45:00,34,27.33333,6.66667
05/04/2022 04:00:00,35.6,28.4,7.2
05/04/2022 04:15:00,37.59998,30,7.59998
05/04/2022 04:30:00,35.2,28.4,6.8
05/04/2022 04:45:00,38.00002,31.33333,6.66669
05/04/2022 05:00:00,38.00002,30.8,7.20002
05/04/2022 05:15:00,38.40001,30,8.40001
05/04/2022 05:30:00,40,32.4,7.6
05/04/2022 05:45:00,43.6,35.33333,8.26667
05/04/2022 06:00:00,44.39999,36,8.39999
05/04/2022 06:15:00,45.60001,37.33334,8.26667
05/04/2022 06:30:00,48.39998,40.00001,8.39997
05/04/2022 06:45:00,50.8,42.66667,8.13333
05/04/2022 07:00:00,51.59999,43.2,8.39999
05/04/2022 07:15:00,50.8,42.00001,8.79999
05/04/2022 07:30:00,53.6,44.8,8.8
05/04/2022 07:45:00,54,45.33333,8.66667
05/04/2022 08:00:00,55.19999,46.39999,8.8
05/04/2022 08:15:00,55.19999,45.33333,9.86666
05/04/2022 08:30:00,55.19999,46.39999,8.8
05/04/2022 08:45:00,55.19999,45.33333,9.86666
05/04/2022 09:00:00,53.6,45.2,8.4
05/04/2022 09:15:00,54.4,46,8.4
05/04/2022 09:30:00,52.80001,44.8,8.00001
05/04/2022 09:45:00,54.4,46,8.4
05/04/2022 10:00:00,53.20001,44.8,8.40001
05/04/2022 10:15:00,51.59999,43.33334,8.26665
05/04/2022 10:30:00,54,45.2,8.8
05/04/2022 10:45:00,50.8,41.33334,9.46666
05/04/2022 11:00:00,53.20001,44.4,8.80001
05/04/2022 11:15:00,52.40002,42.66667,9.73335
05/04/2022 11:30:00,51.59999,42.80001,8.79998
05/04/2022 11:45:00,49.60001,39.33334,10.26667
05/04/2022 12:00:00,51.19999,41.60001,9.59998
05/04/2022 12:15:00,49.60001,40.00001,9.6
05/04/2022 12:30:00,48.39998,40.00001,8.39997
05/04/2022 12:45:00,50.8,41.33334,9.46666
05/04/2022 13:00:00,50.4,41.60001,8.79999
05/04/2022 13:15:00,49.60001,41.33334,8.26667
05/04/2022 13:30:00,48.80002,40.00001,8.80001
05/04/2022 13:45:00,47.2,38,9.2
05/04/2022 14:00:00,46.4,38.4,8
05/04/2022 14:15:00,45.60001,37.33334,8.26667
05/04/2022 14:30:00,46.8,38.40001,8.39999
05/04/2022 14:45:00,46.4,38.66667,7.73333
05/04/2022 15:00:00,47.99999,39.20001,8.79998
05/04/2022 15:15:00,46.4,38.66667,7.73333
05/04/2022 15:30:00,49.60001,40.80001,8.8
05/04/2022 15:45:00,49.60001,40.66668,8.93333
05/04/2022 16:00:00,49.20001,40.80001,8.4
05/04/2022 16:15:00,51.59999,42.00001,9.59998
05/04/2022 16:30:00,51.99998,43.60001,8.39997
05/04/2022 16:45:00,54.4,45.33333,9.06667
05/04/2022 17:00:00,51.99998,43.2,8.79998
05/04/2022 17:15:00,51.99998,43.33334,8.66664
05/04/2022 17:30:00,52.80001,43.6,9.20001
05/04/2022 17:45:00,51.59999,42.00001,9.59998
05/04/2022 18:00:00,54.79999,45.2,9.59999
05/04/2022 18:15:00,51.99998,42.66668,9.3333
05/04/2022 18:30:00,54.4,44.8,9.6
05/04/2022 18:45:00,51.99998,42.66668,9.3333
05/04/2022 19:00:00,49.20001,40.00001,9.2
05/04/2022 19:15:00,52.80001,44,8.80001
05/04/2022 19:30:00,50.8,41.20001,9.59999
05/04/2022 19:45:00,51.19999,42.00001,9.19998
05/04/2022 20:00:00,46.00001,37.6,8.40001
05/04/2022 20:15:00,44.79998,36.66667,8.13331
05/04/2022 20:30:00,44.39999,36,8.39999
05/04/2022 20:45:00,42.00001,34.66667,7.33334
05/04/2022 21:00:00,43.2,35.2,8
05/04/2022 21:15:00,41.19998,33.33333,7.86665
05/04/2022 21:30:00,40,32.4,7.6
05/04/2022 21:45:00,40,32.66667,7.33333
05/04/2022 22:00:00,39.6,32,7.6
05/04/2022 22:15:00,39.2,31.33333,7.86667
05/04/2022 22:30:00,37.59998,30.4,7.19998
05/04/2022 22:45:00,35.6,28,7.6
05/04/2022 23:00:00,35.2,28.4,6.8
05/04/2022 23:15:00,34.8,28,6.8
05/04/2022 23:30:00,33.2,26.4,6.8
05/04/2022 23:45:00,34,28,6
06/04/2022 00:00:00,32.8,26.4,6.4
06/04/2022 00:15:00,39.6,31.33333,8.26667
06/04/2022 00:30:00,34,27.2,6.8
06/04/2022 00:45:00,33.2,26.66667,6.53333
06/04/2022 01:00:00,34.4,27.6,6.8
06/04/2022 01:15:00,34.4,,34.4
06/04/2022 01:30:00,32.8,,32.8
06/04/2022 01:45:00,30.8,24.66667,6.13333
06/04/2022 02:00:00,32,26,6
06/04/2022 02:15:00,30.8,25.33333,5.46667
06/04/2022 02:30:00,31.2,24.8,6.4
06/04/2022 02:45:00,31.6,26,5.6
06/04/2022 03:00:00,30.4,24.4,6
06/04/2022 03:15:00,31.6,25.33333,6.26667
06/04/2022 03:30:00,32.8,26.4,6.4
06/04/2022 03:45:00,31.6,26,5.6
06/04/2022 04:00:00,32.4,26,6.4
06/04/2022 04:15:00,36,30,6
06/04/2022 04:30:00,36.79999,30,6.79999
06/04/2022 04:45:00,36,30,6
06/04/2022 05:00:00,36,29.2,6.8
06/04/2022 05:15:00,37.59998,30.66667,6.93331
06/04/2022 05:30:00,38.00002,32,6.00002
06/04/2022 05:45:00,40.39999,32.66667,7.73332
06/04/2022 06:00:00,41.19998,34,7.19998
06/04/2022 06:15:00,44.79998,36.66667,8.13331
06/04/2022 06:30:00,46.8,38.80001,7.99999
06/04/2022 06:45:00,48.80002,41.33334,7.46668
06/04/2022 07:00:00,48.80002,40.40001,8.40001
06/04/2022 07:15:00,50,42.00001,7.99999
06/04/2022 07:30:00,52.40002,43.60001,8.80001
06/04/2022 07:45:00,55.19999,46,9.19999
06/04/2022 08:00:00,54.4,45.6,8.8
06/04/2022 08:15:00,54.79999,45.33333,9.46666
06/04/2022 08:30:00,51.99998,43.60001,8.39997
06/04/2022 08:45:00,51.99998,44,7.99998
06/04/2022 09:00:00,54,45.6,8.4
06/04/2022 09:15:00,54.4,46,8.4
06/04/2022 09:30:00,55.19999,46.39999,8.8
06/04/2022 09:45:00,50.8,41.33334,9.46666
06/04/2022 10:00:00,49.60001,41.60001,8
06/04/2022 10:15:00,49.20001,39.33334,9.86667
