Date of Reading,(CUS) TX0230 (Flow) (Flow (m3/hr)),(CUS) TX0233 (Flow) (Flow (m3/hr)),(IN) KS0023 (Flow) (Flow (m3/hr)),(IN) KS0436 (Flow) (Flow (m3/hr)),(IN) KA0116 (Flow) (Flow (m3/hr)),(IN) TX0201R (Flow (m3/hr)),(OUT) BH1003 (Flow) (Flow (m3/hr)),(OUT) FL4101 (Flow) (Flow (m3/hr)),(OUT) FL4401 (Flow) (Flow (m3/hr)),(OUT) BH0001 (Flow) (Flow (m3/hr)),(OUT) TX0201 (Flow) (Flow (m3/hr)),(OUT) FL0802 (Flow) (Flow (m3/hr)),(OUT) Ellen Road motorised valve (15 Minute Flow - 1) (Flow (m3/hr)),THANET SE TRUNK MAIN (Balance) (Flow (m3/hr))
23/04/2025 00:00:00,11.08,0,218.90625,0,130.776,-270,0,2.4,10.4,0,123.525,,3.375,-71.09775
23/04/2025 00:15:00,5.72,0,218.8875,0,130.602,-270,0,3.8,9.6,0,123.1875,,3.375,-66.193
23/04/2025 00:30:00,5.2,0,171.46875,0,96.726,,0,2.8,9.6,0,-20.925,,3.375,268.14475
23/04/2025 00:45:00,5,0,0,0,0,-270,0,3.52,8,0,-56.025,,2.7,-233.195
23/04/2025 01:00:00,5.04,0,0,0,0,-270,0,3.4,8,0,-43.875,,2.925,-245.49
23/04/2025 01:15:00,5.04,0,0,0,66.732,-270,0,2.68,8,0,24.3,,3.375,-246.663
23/04/2025 01:30:00,5.08,0,28.43437,0,133.524,,0,1.84,9.2,0,128.925,,3.6,13.31337
23/04/2025 01:45:00,5.16,0,227.1,0,129.966,-270,0,1.04,10,0,128.5875,,3.6,-61.3215
23/04/2025 02:00:00,5.16,0,222.65625,0,129.918,-270,0,1.32,10,0,125.55,,3.825,-63.28075
23/04/2025 02:15:00,5.12,0,221.04375,0,130.002,-270,0,1.16,10.4,0,129.9375,,3.375,-68.94675
23/04/2025 02:30:00,5.16,0,220.1625,0,129.774,,0,1.32,10,0,128.5875,,3.6,201.269
23/04/2025 02:45:00,5.16,0,219.88125,0,129.822,-270,0,1.56,10,0,124.2,,3.6,-64.81675
23/04/2025 03:00:00,5.12,0,219.6,0,129.66,-270,0,1.32,10,0,128.25,,3.375,-68.805
23/04/2025 03:15:00,5.16,0,219.4875,0,129.558,-270,0,2,10,0,130.95,,3.6,-72.6645
23/04/2025 03:30:00,5.16,0,219.34687,0,129.606,,0,1.48,10,0,130.6125,,3.6,198.10037
23/04/2025 03:45:00,5.12,0,219.3375,0,129.798,-270,0,1.68,10,0,121.8375,,3.375,-62.877
23/04/2025 04:00:00,4.8,0,219.075,0,129.714,-270,0,2.2,10,0,123.8625,,3.375,-65.4485
23/04/2025 04:15:00,5.12,0,219.13125,0,129.9,-270,0,2.24,10.8,0,122.5125,,3.6,-65.24125
23/04/2025 04:30:00,5.16,0,218.95312,0,129.81,,0,4,10.8,0,122.5125,,3.375,202.91562
23/04/2025 04:45:00,5.12,0,219,0,129.948,-270,0,4.52,10.4,0,119.8125,,3.375,-64.2795
23/04/2025 05:00:00,5.16,0,215.11876,0,127.566,-270,0,3.68,12,0,186.975,,168.3,-303.43024
23/04/2025 05:15:00,5.24,0,201.975,0,119.19,-270,0.04,5.8,13.2,0,203.85,,176.4,-353.365
23/04/2025 05:30:00,5.28,0,201.74062,0,119.082,,0.08,6.96,15.2,0,199.4625,,180.225,-86.38488
23/04/2025 05:45:00,9.36,0,201.7875,0,119.49,-270,0.28,7.16,16.4,0,184.275,,182.025,-348.2225
23/04/2025 06:00:00,13.68,0,202.10625,0,119.598,-270,0.64,7.48,16.4,0,192.375,,184.05,-362.92075
23/04/2025 06:15:00,13.68,0,203.55,0,120.666,-270,4.28,13.8,16,0,179.55,,183.15,-356.244
23/04/2025 06:30:00,13.64,0,203.87813,0,120.786,,7.76,14.64,17.2,0,178.875,,183.375,-90.82587
23/04/2025 06:45:00,13.64,0,203.7375,0,120.72,-270,9.68,12.96,16.4,0,178.5375,,184.05,-360.81
23/04/2025 07:00:00,12.28,0,203.86875,0,121.086,-270,8.64,12.48,14.4,0,183.2625,,187.425,-363.53275
23/04/2025 07:15:00,6.08,0,203.79375,0,121.062,-270,11.92,11.36,15.6,0,189.3375,,186.525,-365.96675
23/04/2025 07:30:00,5.44,0,203.79375,0,120.882,,10.76,12.28,15.2,0,185.9625,,185.175,-90.14175
23/04/2025 07:45:00,5.4,0,68.325,0,31.65,-270,9.8,13.92,13.6,0,62.775,,275.175,-550.695
23/04/2025 08:00:00,5.28,0,0,0,0,-270,12.92,15.52,16,0,46.575,,256.5,-622.795
23/04/2025 08:15:00,5.28,0,0,0,2.04,-270,9.72,11.2,16.4,0,49.6125,,259.875,-620.0475
