Date of Reading,(IN) PX0601 (Flow) (Flow (m3/hr)),(IN) PX0402 (Flow) (Flow (m3/hr)),(OUT) RW0301 (Flow) (Flow (m3/hr)),(OUT) RW0501 (Flow) (Flow (m3/hr)),(OUT) RW1001 (Flow) (Flow (m3/hr)),(OUT) RW1002 (Flow) (Flow (m3/hr)),(OUT) PX0403 (Flow) (Flow (m3/hr)),(OUT) RW5401 Flow (Flow (m3/hr)),Rownhams East TM (Balance) (Flow (m3/hr))
26/04/2025 00:00:00,316.8,,7.52,5.32,371.99988,80.35999,,14.36,-162.75987
26/04/2025 00:15:00,307.20002,,6.6,5.2,360,78.72001,,14.72,-158.03999
26/04/2025 00:30:00,310.80002,,6.2,5.28,367.99992,80.16001,,12.8,-161.63991
26/04/2025 00:45:00,306,,5.92,4.8,363.99996,79.44001,,11.36,-159.51997
26/04/2025 01:00:00,303.99998,,5.32,4.76,360,78.04001,,11.68,-155.80003
26/04/2025 01:15:00,296.79998,,5.4,4.32,352.00001,77.11999,,10.6,-152.64002
26/04/2025 01:30:00,295.99999,,5,4.84,356,77.24002,,10.8,-157.88003
26/04/2025 01:45:00,296.40002,,5.28,4.32,356,77.24002,,10.64,-157.08
26/04/2025 02:00:00,303.60002,,5.56,4,360,78.19999,,10.12,-154.27997
26/04/2025 02:15:00,302.4,,5.36,3.6,363.99996,77.88002,,10.24,-158.67998
26/04/2025 02:30:00,295.99999,,5.24,3.68,352.00001,77.4,,9.24,-151.56002
26/04/2025 02:45:00,298.8,,5.36,4.28,356,77.72,,9.64,-154.2
26/04/2025 03:00:00,295.6,,5.68,3.96,356,76.96001,,9.8,-156.80001
26/04/2025 03:15:00,295.2,,5.12,3.76,352.00001,77.24002,,9.08,-152.00003
26/04/2025 03:30:00,294.8,,5.4,3.32,352.00001,77.44,,9.76,-153.12001
26/04/2025 03:45:00,295.6,,5.36,3.52,356,78.00001,,9.48,-156.76001
26/04/2025 04:00:00,295.6,,5.76,3.76,356,77.32001,,9.64,-156.88001
26/04/2025 04:15:00,298.00001,,7.08,4,356,77.8,,11.24,-158.11999
26/04/2025 04:30:00,307.59998,,6.4,4.16,360,78.76001,,13.52,-155.24003
26/04/2025 04:45:00,310,,6.88,5.48,367.99992,79.80001,,12,-162.15993
26/04/2025 05:00:00,315.20002,,8.48,5.36,367.99992,80.35999,,13.36,-160.35989
26/04/2025 05:15:00,330.8,,10.6,8.36,380.00016,83.28002,,15.88,-167.32018
26/04/2025 05:30:00,345.6,,12.12,8.72,388.00008,85.24001,,21.4,-169.88009
26/04/2025 05:45:00,363.6,,12.6,9.6,403.99992,88.36002,,24.72,-175.67994
26/04/2025 06:00:00,379.19988,,14.52,11.12,416.00016,90.79999,,26.04,-179.28027
26/04/2025 06:15:00,407.59992,,18.64,14,435.99996,94.56001,,32.2,-187.80005
26/04/2025 06:30:00,432,,23.72,16.36,452.00016,98.52001,,38.27999,-196.88016
26/04/2025 06:45:00,537.19992,,28.92,20.08,564.00012,122.24002,,46.12,-244.16022
26/04/2025 07:00:00,561.20004,,29.6,22.04,579.99996,126.32,,54.87998,-251.6399
26/04/2025 07:15:00,591.99984,,37.32001,25.48,596.00016,129.96,,62.79998,-259.56031
26/04/2025 07:30:00,612.39996,,39.76002,28.12,612,133.2,,63.28001,-263.96007
26/04/2025 07:45:00,637.2,,42.48,31.08,623.99988,136.68001,,71.75999,-268.79988
26/04/2025 08:00:00,642.80016,,41.51999,30.08,636.00012,136.23998,,71.20001,-272.23994
26/04/2025 08:15:00,653.60016,,38.27999,30.84,640.00008,139.03999,,75.44002,-269.99992
26/04/2025 08:30:00,657.20016,,41.19998,31.72,640.00008,139.92001,,80.39999,-276.0399
26/04/2025 08:45:00,661.60008,,42.52,29.68,651.99996,140.36,,81.43999,-284.39987
26/04/2025 09:00:00,655.59996,,42.08,30.96,644.00004,138.72002,,76.48002,-276.64012
26/04/2025 09:15:00,657.20016,,40.07999,29.44,644.00004,139.56001,,77.56002,-273.4399
26/04/2025 09:30:00,645.99984,,40.64,26.6,644.00004,138.64,,73.28002,-277.16022
26/04/2025 09:45:00,630.39996,,38.95999,31.48,619.99992,135.4,,68.51999,-263.95994
26/04/2025 10:00:00,580.39992,,37.28002,32,564.00012,123.68002,,71.52001,-248.08025
26/04/2025 10:15:00,569.19996,,36.76,28.32,560.00016,122.08,,66.24,-244.2002
26/04/2025 10:30:00,566.39988,,36.79999,29.16,555.99984,121.72,,65.72002,-242.99997
26/04/2025 10:45:00,565.99992,,36.04,27.6,555.99984,121.03999,,68.47999,-243.1599
26/04/2025 11:00:00,550.8,,36.43999,25.44,536.00004,118.20002,,69.32002,-234.60007
