TMA Ref,DMA Name,District Type,Water Balance Area,Region
NX59,Pmouth Water Co transfer to Hardham WSW TM,TMA,Sussex North,Sussex
MX94,Bottom Pond Boosted flow to SEW,TMA,Medway,Medway
CX52,Lewes Road res to DMA trunk,OSCM,Sussex Coastal,Sussex
MX54,Keycol Reservoir,OSCM,Medway,Medway
BE08,Whitehawk WSR Inlet Main,OSCM,Sussex Coastal,Sussex
IX15,Niton WSW to St Catherines Res TM,OSCM,Isle of Wight,IOW
MX56,Isle of Grain Low Pressure TM,OSCM,Medway,Medway
MX90,Deans Hill BPT- Grove Valve House,OSCM,Medway,Medway
DK01,Dunkirk BPT- Calcott Hill WBS TM,OSCM,Thanet,Thanet
WK04,Manor Hill TM,OSCM,Sussex Coastal,Sussex
AN30,River Way Andover WSW to Upper Enham WSR TM,OSCM,Andover,Hampshire
CX17,Patcham High res to High Service TM,OSCM,Sussex Coastal,Sussex
OD14,Freemantle Common-Ingleside,OSCM,Hampshire South,Hampshire
BW29,Loves Corner PRV to Highdown WSR,OSCM,Sussex Coastal,Sussex
DR11,Highest Falmer Trunk,OSCM,Sussex Coastal,Sussex
CX30,Middle Service Trunk Main West,OSCM,Sussex Coastal,Sussex
AN31,Andover 450mm TM,OSCM,Andover,Hampshire
AH32,Wootton to Staplers TM,OSCM,Isle of Wight,IOW
MK08,Mileoak High Trunk Main,OSCM,Sussex Coastal,Sussex
CW02,Isle of Grain High pressure TM,OSCM,Medway,Medway
AX10,Fobdown/Scrubbs TM,OSCM,Hampshire South,Hampshire
IF18,Itchingfield 250mm outlet TM,OSCM,Sussex North,Sussex
PX35,Swanwick,OSCM,Hampshire South,Hampshire
CX31,Middle Service Trunk Main East,OSCM,Sussex Coastal,Sussex
CX95,Patching WSW and V32 to Patching High WSR,TMA,Sussex Coastal,Sussex
TX09,Fleete - Ramsgate,OSCM,Thanet,Thanet
MS41,Sackville Road Hove,OSCM,Sussex Coastal,Sussex
IX60,Brading Res Ring Main East,OSCM,Isle of Wight,IOW
IX28,Freshwater 450mm Direct,OSCM,Isle of Wight,IOW
MS42,"Olive Road 8"" TM",OSCM,Sussex Coastal,Sussex
